fact_check_id,post_id
33,2228
33,2229
33,6088
156,3858
156,17393
156,17397
214,3768
263,3003
354,5013
371,22399
375,9750
376,5067
406,10187
433,5131
535,5668
860,6736
860,13242
968,736
968,8199
968,27280
969,2246
969,17986
970,15039
970,25678
988,14979
1032,13644
1032,14098
1032,15915
1133,2770
1136,7320
1231,5632
1236,7617
1268,6027
1298,655
1339,10268
1501,5131
1570,9133
1693,3014
1713,409
1941,1008
1941,28004
1956,2313
1956,9910
1956,14805
1956,20597
2005,4939
2024,19317
2040,3031
2066,21922
2170,1118
2204,8506
2204,8507
2278,15614
2287,27107
2413,20767
2629,2367
3057,19502
3130,21201
3236,16683
3246,9843
3246,13468
3246,13469
3246,13502
3271,13564
3327,15394
3332,25867
3351,13977
3493,21011
3694,14104
3721,12546
3857,28
3857,29
3857,30
3857,5591
3889,1547
3889,2906
3889,9637
3889,15311
3889,15312
3889,15313
3889,25590
3889,25633
3943,15387
3999,1770
3999,1771
3999,2365
3999,3246
3999,9144
3999,15470
4095,16951
4118,20216
4355,18913
4388,10440
4404,4533
4404,27749
4437,231
4437,19334
4437,21617
4439,16045
4536,5034
4629,16972
4685,1766
4685,1767
4700,9251
4700,10793
4700,11170
4700,17974
4803,17691
4895,40
4895,18827
4895,27578
4895,27581
4895,27586
4909,18134
4961,10451
4961,18388
5112,3002
5112,27764
5116,17923
5127,1869
5166,10912
5166,19181
5214,8647
5346,27727
5498,2049
5498,8537
6133,9435
6248,8853
6349,21319
6399,27611
6405,15562
6424,50
6425,26978
6428,5767
6429,20946
7111,6408
7168,26986
7276,26940
7281,21505
7355,22870
7372,23682
7679,3275
7679,5701
7690,3447
7698,3666
7698,3667
7698,22128
7710,3828
7714,3886
7715,3903
7719,23053
7736,27369
7743,3912
7750,3919
7789,137
7789,1872
7789,5853
7793,4841
7803,666
7803,7423
7803,7424
7803,11228
7811,3014
7848,6818
7848,6819
7852,23982
7869,12748
7869,16244
7869,19728
7922,21949
7954,8464
7956,6999
7957,1988
7974,5026
8017,1976
8017,11806
8031,3814
8047,19638
8048,21293
8051,7418
