fact_check_id,post_id,claim_lang,ocr_lang,pair_lang
33,2228,,"[('eng', 1.0)]","(None, [('eng', 1.0)])"
33,2229,,"[('eng', 1.0)]","(None, [('eng', 1.0)])"
33,6088,,,"(None, nan)"
156,3858,,,"(None, None)"
156,17393,,,"(None, nan)"
156,17397,,,"(None, nan)"
214,3768,,,"(None, None)"
263,3003,,"[('por', 0.9330736994743347), ('spa', 0.04330138862133026), ('ita', 0.014629585668444633), ('xh', 0.008995335549116135)]","(None, [('por', 0.9330736994743347), ('spa', 0.04330138862133026), ('ita', 0.014629585668444633), ('xh', 0.008995335549116135)])"
354,5013,,,"(None, nan)"
371,22399,,,"(None, nan)"
375,9750,,,"(None, None)"
376,5067,,,"(None, nan)"
406,10187,,"[('eng', 0.6608585119247437), ('spa', 0.12014870345592499), ('ita', 0.09250660985708237), ('ron', 0.048153094947338104), ('por', 0.03788105398416519), ('slk', 0.023611530661582947)]","(None, [('eng', 0.6608585119247437), ('spa', 0.12014870345592499), ('ita', 0.09250660985708237), ('ron', 0.048153094947338104), ('por', 0.03788105398416519), ('slk', 0.023611530661582947)])"
433,5131,,,"(None, nan)"
535,5668,,,"(None, nan)"
860,6736,,,"(None, None)"
860,13242,,,"(None, None)"
968,736,,"[('deu', 0.9931432008743286)]","(None, [('deu', 0.9931432008743286)])"
968,8199,,,"(None, None)"
968,27280,,"[('deu', 0.8654559254646301)]","(None, [('deu', 0.8654559254646301)])"
969,2246,,"[('deu', 0.6872978806495667), ('rus', 0.16917869448661804), ('eng', 0.03315639868378639), ('fra', 0.01238054595887661)]","(None, [('deu', 0.6872978806495667), ('rus', 0.16917869448661804), ('eng', 0.03315639868378639), ('fra', 0.01238054595887661)])"
969,17986,,"[('deu', 0.43315985798835754), ('rus', 0.42440706491470337), ('eng', 0.05451330170035362)]","(None, [('deu', 0.43315985798835754), ('rus', 0.42440706491470337), ('eng', 0.05451330170035362)])"
970,15039,,,"(None, nan)"
970,25678,,,"(None, nan)"
988,14979,,,"(None, nan)"
1032,13644,,"[('por', 0.8681220412254333), ('eng', 0.05121390521526337)]","(None, [('por', 0.8681220412254333), ('eng', 0.05121390521526337)])"
1032,14098,,"[('por', 0.8704248070716858), ('eng', 0.05062577873468399)]","(None, [('por', 0.8704248070716858), ('eng', 0.05062577873468399)])"
1032,15915,,,"(None, nan)"
1133,2770,,"[('fra', 1.0)]","(None, [('fra', 1.0)])"
1136,7320,,,"(None, None)"
1231,5632,,,"(None, nan)"
1236,7617,,"[('ita', 0.9910315275192261)]","(None, [('ita', 0.9910315275192261)])"
1268,6027,,,"(None, nan)"
1298,655,,"[('eng', 0.8995414972305298)]","(None, [('eng', 0.8995414972305298)])"
1339,10268,,"[('por', 0.5544940829277039), ('mg', 0.24959123134613037), ('eng', 0.13464561104774475)]","(None, [('por', 0.5544940829277039), ('mg', 0.24959123134613037), ('eng', 0.13464561104774475)])"
1501,5131,,,"(None, nan)"
1570,9133,,"[('eng', 0.5494518280029297), ('ita', 0.017434347420930862)]","(None, [('eng', 0.5494518280029297), ('ita', 0.017434347420930862)])"
1693,3014,,,"(None, None)"
1713,409,,"[('por', 0.9439572095870972), ('eng', 0.03895100951194763), ('spa', 0.01709177903831005)]","(None, [('por', 0.9439572095870972), ('eng', 0.03895100951194763), ('spa', 0.01709177903831005)])"
1941,1008,,"[('eng', 1.0)]","(None, [('eng', 1.0)])"
1941,28004,,"[('eng', 1.0)]","(None, [('eng', 1.0)])"
1956,2313,,"[('por', 0.775490939617157), ('eng', 0.019177334383130074)]","(None, [('por', 0.775490939617157), ('eng', 0.019177334383130074)])"
1956,9910,,"[('por', 0.7396062016487122), ('eng', 0.217262864112854)]","(None, [('por', 0.7396062016487122), ('eng', 0.217262864112854)])"
1956,14805,,,"(None, nan)"
1956,20597,,"[('por', 0.7014130353927612), ('eng', 0.19795003533363342), ('fra', 0.053280919790267944)]","(None, [('por', 0.7014130353927612), ('eng', 0.19795003533363342), ('fra', 0.053280919790267944)])"
2005,4939,,,"(None, nan)"
2024,19317,,,"(None, nan)"
2040,3031,,,"(None, None)"
2066,21922,,,"(None, nan)"
2170,1118,,"[('eng', 1.0)]","(None, [('eng', 1.0)])"
2204,8506,,,"(None, None)"
2204,8507,,,"(None, None)"
2278,15614,,,"(None, nan)"
2287,27107,,"[('por', 0.5387808680534363), ('eng', 0.2523978054523468), ('fra', 0.05350691080093384), ('zho', 0.04265968129038811), ('is', 0.03034253604710102)]","(None, [('por', 0.5387808680534363), ('eng', 0.2523978054523468), ('fra', 0.05350691080093384), ('zho', 0.04265968129038811), ('is', 0.03034253604710102)])"
2413,20767,,"[('eng', 0.9296964406967163)]","(None, [('eng', 0.9296964406967163)])"
2629,2367,,"[('eng', 1.0)]","(None, [('eng', 1.0)])"
3057,19502,,"[('eng', 0.9381929039955139), ('ces', 0.061807096004486084)]","(None, [('eng', 0.9381929039955139), ('ces', 0.061807096004486084)])"
3130,21201,,"[('eng', 0.9544286727905273)]","(None, [('eng', 0.9544286727905273)])"
3236,16683,,,"(None, nan)"
3246,9843,,,"(None, None)"
3246,13468,,,"(None, None)"
3246,13469,,,"(None, None)"
3246,13502,,,"(None, None)"
3271,13564,,,"(None, None)"
3327,15394,,,"(None, nan)"
3332,25867,,,"(None, nan)"
3351,13977,,,"(None, None)"
3493,21011,,,"(None, None)"
3694,14104,,,"(None, None)"
3721,12546,,,"(None, None)"
3857,28,,"[('spa', 0.9988138675689697)]","(None, [('spa', 0.9988138675689697)])"
3857,29,,"[('spa', 1.0)]","(None, [('spa', 1.0)])"
3857,30,,"[('spa', 0.9982149600982666)]","(None, [('spa', 0.9982149600982666)])"
3857,5591,,,"(None, nan)"
